iter	RMSE
0	40.26577576
1	38.98289083
2	37.69196303
3	36.6331226
4	35.53973041
5	34.5222903
6	33.39691767
7	32.36714665
8	31.3077404
9	30.37039314
10	29.52725086
11	28.67779122
12	27.81736703
13	26.9240318
14	26.08042672
15	25.27740055
16	24.49691012
17	23.74003442
18	23.02859838
19	22.31770929
20	21.66697297
21	21.08903824
22	20.46657932
23	19.87374848
24	19.30842552
25	18.75616017
26	18.19571928
27	17.65669925
28	17.12595412
29	16.64775738
30	16.12671071
31	15.63629754
32	15.19539841
33	14.78491508
34	14.43350438
35	13.98407373
36	13.58492925
37	13.20601293
38	12.82542404
39	12.44341078
40	12.0996127
41	11.78758276
42	11.47334138
43	11.16155142
44	10.85523043
45	10.56122248
46	10.26874634
47	9.971314207
48	9.695570898
49	9.422143906
50	9.155520583
51	8.915391022
52	8.670510704
53	8.44324061
54	8.211313851
55	8.001530949
56	7.803661445
57	7.60001172
58	7.400314053
59	7.192217354
60	7.005883134
61	6.833084244
62	6.654866086
63	6.487720768
64	6.331937344
65	6.1895478
66	6.036494759
67	5.907859873
68	5.760798028
69	5.624863594
70	5.506398649
71	5.370527721
72	5.239395101
73	5.117300002
74	5.001508564
75	4.888977376
76	4.787434645
77	4.688023804
78	4.585004058
79	4.484928535
80	4.396947501
81	4.299348827
82	4.205439753
83	4.119618612
84	4.027583804
85	3.957643122
86	3.877806563
87	3.793053036
88	3.722175778
89	3.647887019
90	3.576993715
91	3.506865602
92	3.438612185
93	3.371490403
94	3.305694547
95	3.243898968
96	3.183795645
97	3.131369328
98	3.079361699
99	3.024927119
100	2.969772371
101	2.917088558
102	2.868796475
103	2.821941042
104	2.771729042
105	2.726375383
106	2.686398295
107	2.642998754
108	2.612335857
109	2.578468955
110	2.541545513
111	2.512171953
112	2.475248207
113	2.444468727
114	2.409370459
115	2.379674727
116	2.349781848
117	2.321073592
118	2.313039679
119	2.284859061
120	2.262977365
121	2.235483403
122	2.216909259
123	2.205388898
124	2.179104192
125	2.169733652
126	2.163641861
127	2.155979562
128	2.129930317
129	2.124001459
130	2.099276463
131	2.092552171
132	2.08616605
133	2.079516621
134	2.066875538
135	2.053449861
136	2.033361829
137	2.022967861
138	2.000936223
139	1.995842334
140	1.975693577
141	1.967889528
142	1.953962664
143	1.938197104
144	1.92115237
145	1.902059686
146	1.896364548
147	1.88053535
148	1.869835745
149	1.862939817
150	1.846061849
151	1.834070863
152	1.828832168
153	1.814040803
154	1.805996809
155	1.800017972
156	1.784651287
157	1.777082896
158	1.762598798
159	1.755369818
160	1.751000571
161	1.746473192
162	1.741421177
163	1.736016659
164	1.722416604
165	1.714573278
166	1.707244801
167	1.69884924
168	1.687715606
169	1.674013184
170	1.6705124
171	1.658903433
172	1.655650218
173	1.650530567
174	1.645920431
175	1.639941672
176	1.635903428
177	1.621767588
178	1.61766701
179	1.614783024
180	1.61109312
181	1.599100253
182	1.595202923
183	1.591610424
184	1.579174308
185	1.573909039
186	1.57072115
187	1.566412898
188	1.555587309
189	1.551581497
190	1.548526265
191	1.54562938
192	1.542852921
193	1.540125083
194	1.534075459
195	1.531355216
196	1.518695983
197	1.515600974
198	1.50538808
199	1.501341297
200	1.488963274
201	1.484638673
202	1.481978593
203	1.473395554
204	1.471025939
205	1.461456391
206	1.458778709
207	1.456685603
208	1.445547093
209	1.437366748
210	1.434292753
211	1.431088219
212	1.428611394
213	1.414697199
214	1.402189734
215	1.39474736
216	1.391766327
217	1.382639276
218	1.380394466
219	1.376929216
220	1.36511083
221	1.362159488
222	1.360490072
223	1.358780951
224	1.357049328
225	1.34978271
226	1.348098435
227	1.345513362
228	1.337363759
229	1.335820869
230	1.329277407
231	1.327784009
232	1.317977372
233	1.311339145
234	1.309126033
235	1.299950416
236	1.298386589
237	1.296988057
238	1.29547437
239	1.293848153
240	1.292572409
241	1.286627894
242	1.285388394
243	1.284168987
244	1.282250385
245	1.280204645
246	1.274007524
247	1.272873438
248	1.267508221
249	1.2610159
250	1.259685888
251	1.258594156
252	1.257552214
253	1.250717251
254	1.24577173
255	1.244778864
256	1.238296256
257	1.237103284
258	1.231452391
259	1.22674332
260	1.225293696
261	1.220332043
262	1.214935444
263	1.20800023
264	1.207144613
265	1.206155744
266	1.201612468
267	1.197182577
268	1.189806382
269	1.18579622
270	1.180381196
271	1.179591506
272	1.178698818
273	1.177378824
274	1.174408826
275	1.167528403
276	1.166814267
277	1.161611827
278	1.160885584
279	1.16020875
280	1.15608402
281	1.152806016
282	1.149298282
283	1.148668572
284	1.148038019
285	1.142096168
286	1.141497695
287	1.140897818
288	1.138077117
289	1.137473735
290	1.132116824
291	1.131555797
292	1.125327664
293	1.124783812
294	1.121886099
295	1.117157047
296	1.116629816
297	1.116121971
298	1.113275942
299	1.110968092
300	1.110485651
301	1.11001232
302	1.109522418
303	1.106822356
304	1.103246922
305	1.101530305
306	1.1010854
307	1.099412836
308	1.098994648
309	1.096067606
310	1.094057789
311	1.093647769
312	1.089013134
313	1.084902091
314	1.082601031
315	1.078034202
316	1.075016912
317	1.070703605
318	1.067621391
319	1.062928507
320	1.05981053
321	1.055523668
322	1.053937686
323	1.052150941
324	1.050458178
325	1.045446998
326	1.044638493
327	1.043063623
328	1.040484386
329	1.035868934
330	1.034299582
331	1.032814044
332	1.029341573
333	1.026553014
334	1.023397771
335	1.020986338
336	1.019556112
337	1.019266565
338	1.01762172
339	1.017368943
340	1.01707339
341	1.016728167
342	1.01300823
343	1.010512677
344	1.00692097
345	1.005216089
346	1.004989385
347	1.002924265
348	1.001168644
349	0.9980368951
350	0.9944549988
