iter	Passed	Remaining
0	143	143839
1	148	74141
2	152	50786
3	157	39219
4	159	31763
5	161	26820
6	164	23385
7	167	20717
8	169	18653
9	175	17404
10	177	15998
11	179	14811
12	182	13835
13	184	12990
14	188	12408
15	191	11758
16	193	11188
17	195	10671
18	197	10218
19	203	9967
20	206	9645
21	208	9278
22	210	8948
23	213	8662
24	217	8499
25	220	8273
26	223	8048
27	225	7838
28	227	7620
29	230	7445
30	233	7314
31	236	7149
32	238	6994
33	240	6846
34	243	6705
35	247	6633
36	250	6531
37	253	6406
38	254	6275
39	256	6154
40	258	6053
41	261	5956
42	263	5855
43	265	5760
44	267	5667
45	268	5574
46	270	5484
47	272	5396
48	274	5328
49	276	5258
50	279	5200
51	281	5132
52	283	5070
53	285	5000
54	287	4947
55	289	4885
56	291	4823
57	293	4774
58	296	4726
59	298	4680
60	301	4635
61	303	4596
62	306	4558
63	308	4518
64	311	4483
65	314	4448
66	317	4424
67	319	4383
68	322	4350
69	324	4315
70	326	4270
71	327	4224
72	330	4191
73	332	4154
74	333	4116
75	335	4081
76	337	4041
77	338	4005
78	340	3969
79	342	3940
80	344	3910
81	346	3877
82	347	3843
83	349	3809
84	350	3776
85	353	3760
86	355	3729
87	357	3708
88	359	3684
89	362	3661
90	364	3641
91	366	3615
92	368	3589
93	370	3569
94	372	3548
95	374	3523
96	376	3503
97	378	3482
98	380	3466
99	383	3447
100	385	3428
101	387	3408
102	389	3392
103	391	3374
104	394	3359
105	396	3343
106	398	3326
107	400	3307
108	402	3290
109	404	3273
110	407	3261
111	409	3246
112	411	3228
113	412	3207
114	415	3201
115	417	3180
116	419	3166
117	421	3152
118	422	3130
119	426	3125
120	427	3108
121	429	3093
122	432	3081
123	434	3067
124	436	3053
125	437	3036
126	438	3016
127	440	2998
128	442	2988
129	444	2971
130	445	2957
131	447	2942
132	448	2922
133	449	2903
134	451	2892
135	452	2877
136	455	2866
137	458	2863
138	460	2852
139	461	2836
140	463	2824
141	465	2814
142	468	2805
143	470	2798
144	472	2787
145	474	2777
146	476	2763
147	478	2753
148	480	2743
149	481	2727
150	483	2715
151	484	2703
152	485	2687
153	486	2675
154	488	2664
155	490	2654
156	492	2644
157	494	2635
158	495	2623
159	497	2614
160	498	2598
161	500	2587
162	501	2574
163	503	2567
164	505	2560
165	508	2554
166	512	2557
167	514	2547
168	517	2545
169	519	2538
170	520	2525
171	522	2516
172	524	2505
173	525	2494
174	527	2486
175	530	2481
176	538	2501
177	540	2495
178	542	2490
179	543	2477
180	545	2466
181	549	2469
182	551	2462
183	553	2455
184	556	2449
185	558	2446
186	559	2434
187	561	2426
188	567	2436
189	572	2441
190	573	2430
191	575	2420
192	576	2409
193	580	2413
194	584	2413
195	585	2402
196	588	2397
197	590	2392
198	597	2406
199	599	2399
200	602	2393
201	604	2387
202	606	2380
203	610	2383
204	613	2379
205	615	2372
206	620	2377
207	621	2365
208	623	2358
209	630	2373
210	632	2366
211	634	2358
212	636	2352
213	638	2343
214	643	2349
215	646	2346
216	648	2340
217	650	2333
218	652	2327
219	659	2336
220	660	2329
221	662	2321
222	663	2312
223	664	2302
224	665	2291
225	667	2286
226	669	2278
227	671	2273
228	674	2270
229	675	2260
230	677	2253
231	677	2244
